code,lat,lon
E06000001,54.670,-1.259
E06000002,54.543,-1.222
E06000003,54.552,-1.020
E06000004,54.561,-1.332
E06000005,54.549,-1.552
E06000006,53.346,-2.713
E06000007,53.398,-2.564
E06000008,53.693,-2.467
E06000009,53.817,-3.027
E06000010,53.765,-0.334
E06000011,53.874,-0.492
E06000012,53.542,-0.139
E06000013,53.591,-0.595
E06000014,53.959,-1.061
E06000015,52.912,-1.467
E06000016,52.638,-1.129
E06000017,52.661,-0.655
E06000018,52.961,-1.177
E06000019,52.104,-2.745
E06000020,52.730,-2.490
E06000021,53.019,-2.164
E06000022,51.356,-2.475
E06000023,51.467,-2.601
E06000024,51.390,-2.794
E06000025,51.546,-2.464
E06000026,50.392,-4.118
E06000027,50.441,-3.554
E06000030,51.571,-1.744
E06000031,52.608,-0.254
E06000032,51.894,-0.426
E06000033,51.549,0.713
E06000034,51.509,0.368
E06000035,51.414,0.551
E06000036,51.408,-0.739
E06000037,51.449,-1.304
E06000038,51.453,-0.985
E06000039,51.508,-0.586
E06000040,51.485,-0.700
E06000041,51.429,-0.884
E06000042,52.083,-0.733
E06000043,50.844,-0.135
E06000044,50.821,-1.070
E06000045,50.920,-1.399
E06000046,50.675,-1.298
E06000047,54.696,-1.840
E06000049,53.181,-2.349
E06000050,53.197,-2.732
E06000051,52.636,-2.734
E06000052,50.406,-4.825
E06000053,49.934,-6.314
E06000054,51.298,-1.944
E06000055,52.189,-0.476
E06000056,52.007,-0.436
E06000057,55.239,-2.067
E06000058,50.750,-1.878
E06000059,50.807,-2.336
E08000001,53.578,-2.468
E08000002,53.588,-2.313
E08000003,53.453,-2.232
E08000004,53.552,-2.051
E08000005,53.616,-2.157
E08000006,53.489,-2.371
E08000007,53.394,-2.129
E08000008,53.477,-2.064
E08000009,53.419,-2.355
E08000010,53.524,-2.588
E08000011,53.424,-2.833
E08000012,53.404,-2.916
E08000013,53.460,-2.723
E08000014,53.550,-3.003
E08000015,53.362,-3.069
E08000016,53.536,-1.533
E08000017,53.544,-1.095
E08000018,53.409,-1.287
E08000019,53.405,-1.551
E08000021,55.007,-1.657
E08000022,55.028,-1.518
E08000023,54.962,-1.444
E08000024,54.880,-1.451
E08000025,52.489,-1.874
E08000026,52.417,-1.519
E08000027,52.483,-2.108
E08000028,52.516,-2.009
E08000029,52.412,-1.726
E08000030,52.599,-1.966
E08000031,52.590,-2.122
E08000032,53.845,-1.854
E08000033,53.721,-1.973
E08000034,53.627,-1.763
E08000035,53.825,-1.505
E08000036,53.660,-1.412
E08000037,54.936,-1.683
E09000001,51.514,-0.093
E09000002,51.544,0.135
E09000003,51.616,-0.209
E09000004,51.458,0.141
E09000005,51.558,-0.268
E09000006,51.372,0.051
E09000007,51.547,-0.159
E09000008,51.356,-0.087
E09000009,51.522,-0.332
E09000010,51.652,-0.088
E09000011,51.472,0.057
E09000012,51.552,-0.064
E09000013,51.496,-0.222
E09000014,51.590,-0.107
E09000015,51.598,-0.341
E09000016,51.565,0.221
E09000017,51.542,-0.445
E09000018,51.468,-0.364
E09000019,51.548,-0.111
E09000020,51.500,-0.190
E09000021,51.389,-0.286
E09000022,51.453,-0.119
E09000023,51.448,-0.019
E09000024,51.410,-0.195
E09000025,51.528,0.035
E09000026,51.586,0.075
E09000027,51.442,-0.312
E09000028,51.474,-0.075
E09000029,51.362,-0.178
E09000030,51.517,-0.037
E09000031,51.595,-0.013
E09000032,51.452,-0.188
E09000033,51.514,-0.160
E10000002,51.785,-0.812
E10000003,52.340,0.034
E10000006,54.591,-2.900
E10000007,53.143,-1.615
E10000008,50.761,-3.811
E10000011,50.942,0.275
E10000012,51.812,0.560
E10000013,51.826,-2.125
E10000014,51.068,-1.288
E10000015,51.830,-0.217
E10000016,51.219,0.733
E10000017,53.846,-2.613
E10000018,52.667,-1.114
E10000019,53.115,-0.249
E10000020,52.671,0.955
E10000021,52.308,-0.864
E10000023,54.190,-1.420
E10000024,53.134,-1.006
E10000025,51.766,-1.323
E10000027,51.099,-2.939
E10000028,52.852,-2.032
E10000029,52.221,1.062
E10000030,51.248,-0.421
E10000031,52.300,-1.560
E10000032,50.958,-0.489
E10000034,52.224,-2.170
W06000001,53.287,-4.375
W06000002,52.892,-4.022
W06000003,53.139,-3.735
W06000004,53.090,-3.353
W06000005,53.209,-3.161
W06000006,52.991,-3.019
W06000008,52.254,-4.073
W06000009,51.854,-4.886
W06000010,51.905,-4.159
W06000011,51.643,-4.051
W06000012,51.681,-3.742
W06000013,51.556,-3.599
W06000014,51.446,-3.400
W06000015,51.511,-3.206
W06000016,51.651,-3.436
W06000018,51.653,-3.205
W06000019,51.767,-3.194
W06000020,51.699,-3.054
W06000021,51.767,-2.872
W06000022,51.580,-2.965
W06000023,52.326,-3.410
W06000024,51.742,-3.362
N92000002,54.608,-6.682
S92000003,56.837,-4.184
W92000004,52.335,-3.765
S08000015,55.452,-4.625
S08000016,55.577,-2.788
S08000017,55.071,-3.958
S08000019,56.210,-4.241
S08000020,57.300,-2.782
S08000022,57.278,-4.913
S08000024,55.904,-3.097
S08000025,59.007,-3.058
S08000026,60.406,-1.251
S08000028,57.925,-6.851
S08000029,56.229,-3.124
S08000030,56.610,-3.555
S08000031,55.881,-4.450
S08000032,55.670,-3.840
